seg_name,i,j,dist,rbot,rbot_raw,rname,seg,reach,stage,param,k,rtop,above_upstream
clutha_15850,164,91,15850.0,246.0627644856771,230.03147888183594,clutha,1,139,,c1,0,248.0627644856771,False
clutha_15950,165,90,15950.0,245.85315755208336,248.5557861328125,clutha,1,140,,c1,0,247.85315755208336,False
clutha_16100,166,90,16100.0,245.64510091145834,248.1999969482422,clutha,1,141,,c1,0,247.64510091145834,False
clutha_16200,167,90,16200.0,245.40490112304687,247.77000427246094,clutha,1,142,,c1,0,247.40490112304687,False
clutha_16300,168,90,16300.0,245.15293884277344,247.67510986328125,clutha,1,143,,c1,0,247.15293884277344,False
clutha_16350,168,91,16350.0,244.967724609375,247.3236083984375,clutha,1,144,,c1,0,246.967724609375,False
clutha_16400,169,91,16400.0,244.8137237548828,247.2959747314453,clutha,1,145,,c1,0,246.8137237548828,False
clutha_16500,169,92,16500.0,244.67870178222657,247.27392578125,clutha,1,146,,c1,0,246.67870178222657,False
clutha_16600,168,92,16600.0,244.51398010253905,247.0,clutha,1,147,,c1,0,246.51398010253905,False
clutha_16700,167,92,16700.0,244.29942016601564,247.0,clutha,1,148,,c1,0,246.29942016601564,False
clutha_16800,166,93,16800.0,244.07266235351562,246.5,clutha,1,149,,c1,0,246.07266235351562,False
clutha_16900,166,94,16900.0,243.80919189453124,246.22317504882812,clutha,1,150,,c1,0,245.80919189453124,False
clutha_17000,166,95,17000.0,243.50919189453126,246.14013671875,clutha,1,151,,c1,0,245.50919189453126,False
clutha_17150,167,96,17150.0,243.24581909179688,245.68264770507812,clutha,1,152,,c1,0,245.24581909179688,False
clutha_17250,167,97,17250.0,243.0597351074219,245.5,clutha,1,153,,c1,0,245.0597351074219,False
clutha_17350,168,98,17350.0,242.89266357421874,245.18313598632812,clutha,1,154,,c1,0,244.89266357421874,False
clutha_17450,168,99,17450.0,242.78208923339844,245.29275512695312,clutha,1,155,,c1,0,244.78208923339844,False
clutha_17550,169,99,17550.0,242.64208984375,245.30477905273438,clutha,1,156,,c1,0,244.64208984375,False
clutha_17600,169,100,17600.0,242.50914916992187,245.12977600097656,clutha,1,157,,c1,0,244.50914916992187,False
clutha_17700,170,101,17700.0,242.33059692382812,244.8000030517578,clutha,1,158,,c1,0,244.33059692382812,False
clutha_17850,171,102,17850.0,242.14611206054687,244.5184326171875,clutha,1,159,,c1,0,244.14611206054687,False
clutha_18000,171,103,18000.0,241.98439331054686,244.39999389648438,clutha,1,160,,c1,0,243.98439331054686,False
clutha_18100,171,104,18100.0,241.86186828613282,244.38235473632812,clutha,1,161,,c1,0,243.86186828613282,False
clutha_18150,172,104,18150.0,241.7581817626953,244.32118225097656,clutha,1,162,,c1,0,243.7581817626953,False
clutha_18200,172,105,18200.0,241.65290222167968,244.1873779296875,clutha,1,163,,c1,0,243.65290222167968,False
clutha_18300,172,106,18300.0,241.45643005371093,244.0,clutha,1,164,,c1,0,243.45643005371093,False
clutha_18350,171,106,18350.0,241.2721923828125,243.87359619140625,clutha,1,165,,c1,0,243.2721923828125,False
clutha_18400,171,107,18400.0,241.11471557617188,243.39999389648438,clutha,1,166,,c1,0,243.11471557617188,False
clutha_18500,171,108,18500.0,240.99471435546874,243.39999389648438,clutha,1,167,,c1,0,242.99471435546874,False
clutha_18600,171,109,18600.0,240.8965637207031,243.39999389648438,clutha,1,168,,c1,0,242.8965637207031,False
clutha_18700,171,110,18700.0,240.87095336914064,243.39999389648438,clutha,1,169,,c1,0,242.87095336914064,False
clutha_18800,171,111,18800.0,240.8109558105469,243.38284301757812,clutha,1,170,,c1,0,242.8109558105469,False
clutha_18900,171,112,18900.0,240.75095825195314,243.27194213867188,clutha,1,171,,c1,0,242.75095825195314,False
clutha_19000,171,113,19000.0,240.6909606933594,243.10000610351562,clutha,1,172,,c1,0,242.6909606933594,False
clutha_19100,171,114,19100.0,240.61231994628906,243.10000610351562,clutha,1,173,,c1,0,242.61231994628906,False
clutha_19150,172,114,19150.0,240.55170288085938,243.10000610351562,clutha,1,174,,c1,0,242.55170288085938,False
clutha_19200,172,115,19200.0,240.50510864257814,242.98963928222656,clutha,1,175,,c1,0,242.50510864257814,False
clutha_19300,172,116,19300.0,240.42611083984374,242.96885681152344,clutha,1,176,clutha_luggate,c1,0,242.42611083984374,False
clutha_19400,172,117,19400.0,240.31578979492187,242.86703491210938,clutha,1,177,,c1,0,242.31578979492187,False
clutha_19500,172,118,19500.0,240.20532836914063,242.70501708984375,clutha,1,178,,c1,0,242.20532836914063,False
clutha_19600,172,119,19600.0,240.0850402832031,242.54840087890625,clutha,1,179,,c1,0,242.0850402832031,False
clutha_19700,172,120,19700.0,239.95163269042968,242.4373321533203,clutha,1,180,,c1,0,241.95163269042968,False
clutha_19800,172,121,19800.0,239.88828659057617,242.36741638183594,clutha,1,181,,c1,0,241.88828659057617,False
clutha_19900,172,122,19900.0,239.8349151611328,242.1999969482422,clutha,1,182,,c1,0,241.8349151611328,False
