,potential_et,precipitation,reference_et,uncor_potential_et
1950-08-29,0.36389452,4.0166664,12648.949,8.133334
1950-08-30,0.27550048,14.400001,7824.9497,6.266668
1950-08-31,0.06477529,3.0166667,18946.584,1.8166667
1950-09-01,0.09318767,1.4166666,17502.701,2.4166667
1950-09-02,-0.011780289,5.5166664,12811.351,0.2
1950-09-03,-0.0094125895,13.216666,13255.551,0.25000003
1950-09-04,0.15316936,2.8333328,10464.499,3.6833336
1950-09-05,0.059250668,0.6,25333.35,1.7000002
1950-09-06,0.052147567,0.0,25122.6,1.5500001
1950-09-07,-0.00073103234,4.183333,16344.5,0.4333333
1950-09-08,-0.021251082,2.0333333,501.6333,0.0
1950-09-09,0.018210553,1.2500001,1609.1002,0.8333333
1950-09-10,0.2912851,6.7666664,9698.616,6.6000004
1950-09-11,0.877685,0.0,36911.05,18.983334
1950-09-12,0.94792664,0.0,42403.734,20.466665
1950-09-13,1.1381317,0.33333334,41028.832,24.483332
1950-09-14,0.640126,1.7833334,15287.651,13.966667
1950-09-15,1.1128765,0.0,29839.65,23.950003
1950-09-16,1.3780584,0.0,34890.95,29.549997
1950-09-17,1.6077254,0.0,43294.434,34.4
1950-09-18,1.3867401,0.0,46845.766,29.733332
1950-09-19,1.6535009,0.0,38759.367,35.36667
1950-09-20,1.8255537,3.5333335,34934.332,39.000004
1950-09-21,0.816914,0.2,12629.386,17.699999
1950-09-22,1.0118545,0.0,28141.148,21.816666
1950-09-23,1.6274561,0.0,38168.652,34.816666
1950-09-24,1.8476518,0.0,17251.299,39.466663
1950-09-25,1.8855356,0.0,30901.703,40.266674
1950-09-26,2.1515064,0.0,0.0,45.88333
1950-09-27,1.4238342,6.4166665,16279.898,30.51667
1950-09-28,0.9826529,0.6333334,10831.268,21.199999
1950-09-29,1.3022921,3.6999998,16024.7,27.949999
1950-09-30,2.1191483,0.0,0.0,45.2
1950-10-01,2.2919898,0.96666676,18501.033,48.849995
1950-10-02,1.2588844,7.3833337,5439.1,27.033333
1950-10-03,0.42782235,27.4,0.0,9.483334
1950-10-04,0.25655887,3.1999996,7274.9336,5.8666673
1950-10-05,0.49885333,0.0,35233.6,10.983335
1950-10-06,0.9234604,0.0,30163.568,19.949999
1950-10-07,1.6550794,0.6666667,19435.35,35.4
1950-10-08,0.92267126,4.066666,1377.3834,19.933332
1950-10-09,2.3582854,1.5333334,198.24983,50.25
1950-10-10,2.8010454,0.0,9180.551,59.600002
1950-10-11,2.3385549,0.0,11669.718,49.833332
1950-10-12,3.0228195,0.0,6747.916,64.28333
1950-10-13,1.9376245,0.116666675,1886.9999,41.366665
1950-10-14,1.512228,2.916667,0.0,32.38333
1950-10-15,1.023693,5.116667,2176.1833,22.066666
1950-10-16,2.0410137,1.7333335,0.0,43.54999
1950-10-17,2.546123,0.0,3259.7336,54.216663
1950-10-18,2.8618164,0.0,0.0,60.883335
