,px,py,group,i,j,mx,my,param,k
ss28,1308351.0,5043985.319591245,terrace_east,120,118,1308101.0,5043875.0,main,0
ss28,1308351.0,5043985.319591245,terrace_east,120,119,1308201.0,5043875.0,main,0
ss43,1297851.3836351368,5052541.899911789,maungawera,33,15,1297801.0,5052575.0,mang,0
ss43,1297851.3836351368,5052541.899911789,maungawera,33,16,1297901.0,5052575.0,mang,0
ss43,1297851.3836351368,5052541.899911789,maungawera,34,15,1297801.0,5052475.0,mang,0
ss43,1297851.3836351368,5052541.899911789,maungawera,34,16,1297901.0,5052475.0,mang,0
ss43,1297851.3836351368,5052541.899911789,maungawera,34,17,1298001.0,5052475.0,mang,0
ss43,1297851.3836351368,5052541.899911789,maungawera,35,15,1297801.0,5052375.0,mang,0
ss43,1297851.3836351368,5052541.899911789,maungawera,35,16,1297901.0,5052375.0,mang,0
ss43,1297851.3836351368,5052541.899911789,maungawera,35,17,1298001.0,5052375.0,mang,0
ss44,1299750.3086831558,5050826.514087741,maungawera,51,33,1299601.0,5050775.0,mang,0
ss44,1299750.3086831558,5050826.514087741,maungawera,51,34,1299701.0,5050775.0,mang,0
ss44,1299750.3086831558,5050826.514087741,maungawera,51,35,1299801.0,5050775.0,mang,0
ss44,1299750.3086831558,5050826.514087741,maungawera,52,33,1299601.0,5050675.0,mang,0
ss44,1299750.3086831558,5050826.514087741,maungawera,52,34,1299701.0,5050675.0,mang,0
ss44,1299750.3086831558,5050826.514087741,maungawera,52,35,1299801.0,5050675.0,mang,0
ss44,1299750.3086831558,5050826.514087741,maungawera,53,33,1299601.0,5050575.0,mang,0
ss44,1299750.3086831558,5050826.514087741,maungawera,53,34,1299701.0,5050575.0,mang,0
ss44,1299750.3086831558,5050826.514087741,maungawera,53,35,1299801.0,5050575.0,mang,0
