Well Number,Description,Depth,Geology,Lithology
G42/0808,TOPSOIL,0.2,,SOIL
G43/0148,Silty GRAVEL,19.6,,GRSI
G44/0243,Sandy coarse GRAVEL,12.6,,CGRSA
F40/0106,GRAVEL,2,,GR
I44/0919,"Clayey SILT with a trace of fine Sand, grey, stiff, highly plastic",21.1,,CLSISA
I44/0766,Sandy GRAVELS,9.5,,GRSA
C-2049,"MUD CLAYSTONE, possible highly weathered basement",187.6,,CS
J41/0388,White coarse SANDSTONE,25,,SS
G43/0198,SAND,6.7,,SA
H42/0183,SAND small GRAVELS Artesian Water Flow,16.7,,GRSA
G42/0857,Sandy Claybound GRAVEL,16.2,,GRCLSA
F41/0355,Silty GRAVELS,1,,GRSI
C-2006,Dark green to grey relatively firm hard fine grained micaceous SCHIST with relatively abundant Quartz material,43.5,,SCHIST
J41/0311,Moist Sandy GRAVELS and COBBLES,10,,CGRSA
G41/0123,Brown weathered SCHIST,17,,SCHIST
J43/0112,"Brown TOPSOIL, dry",1,,SOIL
J41/0383,Grey siltstone dribble of water,66.9,,SS
G40/0277,Sandy GRAVELS,6.3,,GRSA
G40/0299,finer Silty GRAVELS,30,,GRSI
J42/0137,Yellow Silty CLAY,11,,CLSI
I44/0980,Brown grey Sandy GRAVELS,19.5,,GRSA
G42/0575,Silty Sandy GRAVELS,20.4,,GRSISA
G41/0275,Sandy GRAVELS,6.6,,GRSA
G44/0212,Hard rock,96,,TERT
G42/0685,Small Sandy GRAVEL,3.5,,FGRSA
I44/0515,Brown CLAY,20.3,,CL
I44/1015,Yellow CLAY,26.5,,CL
G40/0348,GRAVELS Sandy,1.2,,GRSA
G40/0063,Coarse COBBLE,2.4,,CGR
I43/0064,SCHIST,84,,SCHIST
G40/0008,Cleaner Silty GRAVELS,6.4,,GRSI
G42/0101,Yellow Tertiary CLAY,33.5,,CL
C-2049,Silty MUDSTONE,155.5,,MS
C-2044,MUDSTONE to W carbonaceous down unit,72,,MS
G42/0203,TOPSOIL,0.2,,SOIL
I44/0995,Yellow Silty Sandy GRAVEL,15.1,,GRSISA
H42/0200,Small white GRIT,17,,CSA
I44/0939,Grey GRAVELS white quartz rock good water,30,,GR
I44/1047,Dirty GRAVELS,18.1,,GR
F45/0110,HEAVY SAND Claybound GRAVELS,24.2,,GRCLSA
H44/0023,Blue CLAY,6.7,,CL
G41/0286,Sandy Schist and Greywacke GRAVELS,18.65,,GRSA
I44/0767,SILT and soft PUG,13.1,,CLSI
G41/0335,Yellow SILT,4.3,,SI
J41/0715,TUFF BLUE grey FRACTURED TUFF,35,,VOLC
G42/0852,Sandy coarse GRAVEL,4.6,,CGRSA
F41/0121,Silty Flat GRAVELS and Schist,13.1,,GRSI
G41/0236,Sandy coarse GRAVEL,18,,CGRSA
I44/0749,Brown CLAY with blue PUG,14.3,,CL
E41/0109,Wet GRAVELS,22.5,,GR
H45/0302A,Yellow Silty GRAVEL,18.5,,GRSI
G41/0383,CLAY,30,,CL
J41/0400,Topsoil,0.2,,SOIL
HWEOW40,BACKFILL Sandy BOULDERS,2.5,,FILL
G42/0657,Soft Schist,6,,SCHIST
I43/0048,Grey MUDSTONE,34,,MS
F40/0168,Sandy GRAVEL,10.4,,GRSA
H43/0198,Sandy Silty GRAVELS,24.5,,GRSISA
F40/0298,TOPSOIL,0.5,,SOIL
F40/0336,Brown SAND,39.6,,SA
G45/0155,Brown CLAY,4.1,,CL
G40/0390,Light Claybound GRAVEL,14.3,,GRCL
J42/0097,Deborah Volcanics,88,Deborah Volcanics,VOLC
I44/0006,Grey SILT with rare fine dilatant soft Sand and Shells,5.3,,SA
I44/0705,Tight GRAVEL,6.7,,CEGR
J41/0210,White SAND and GRAVEL,14.3,,GRSA
G40/0057,Coarse Cobbly GRAVEL,9.8,,CGR
G42/0131,Quartz Sandy GRAVELS,35.5,,GRSA
J41/0515,CLAY SAND and SHINGLE,7,,GRCLSA
G41/0424,Large GRAVELS Silty with BOULDERS,18.3,,CGRSIBO
F40/0237,Sandy coarse GRAVEL,66.5,,CGRSA
G42/0796,Claybound yellow GRAVELS,66,,GRCL
G44/0221,FIRM DRY BROWN GRAVELS,4,,GR
H41/0153,SILTS,35,,SI
I44/0782,Brown GRAVEL,39.9,,GR
H45/0311,Heavy Claybound GRAVELS,7.2,,GRCL
I44/0684,Brown Sandy GRAVEL,22,,GRSA
C-2034,Silty MUDSTONE,196.5,,MS
G42/0220,Crushed ROCK,56.2,,TERT
F41/0153,GRAVELS,64,,GR
F42/0141,SOIL,0.3,,SOIL
F41/0413,Silty BROWN GRAVEL,1.6,,GRSI
F40/0357-10,Grey SILT,50,,SI
G43/0149,Yellow Silty Sandy GRAVEL,19.1,,GRSISA
I44/0846,Gravel with CLAY layers,27.3,,GRCL
G42/0700,Coarse Sandy GRAVELS,19.5,,CGRSA
J41/0176,BASALT,32.6,,VOLC
J41/0489,Carbonaceous MUD and small Quartz GRAVELS,43.1,,FGRCL
I44/0089,Blue Sandy CLAY with Quartz GRAVEL (water bearing),121.6,,GRCL
G41/0315,Sandy GRAVELS and Boulders,6.1,,CGRSA
J41/0750,Yellow CLAY,6.8,,CL
F40/0183,"Clean Sandy GRAVELS, COBBLES",59.8,,CGRSA
F40/0325,TOPSOIL,0.4,,SOIL
G40/0186,Silty Sandy GRAVEL,18.8,,GRSISA
G40/0288,"Coarse GRAVELS, some Boulders",54.5,,BOCGR
F40/0349,Very Sandy GRAVELS,13.2,,GRSA
G40/0118,LIGHT CLAY BROWN GRAVELS,18.3,,GRCL
G45/0216,Sandy CLAY,15,,CLSA
H46/0144,Fine White Quartz,20.5,,FSA
I44/1001,Quartz GRIT,14.4,,CSA
G40/0406,BOULDER Schist,1.1,,BO
G40/0249,Very Sandy Silty GRAVELS,18.4,,GRSISA
I44/0751,Brown Sandy GRAVEL with COBBLES,40.25,,CGRSA
F41/0378,BOULDER,50.3,,BO
I41/0040,HAAST SCHIST,13.2,HAAST,SCHIST
F41/0347,TOPSOIL,0.3,,SOIL
G44/0115,GRAVELS,8.75,,GR
J41/0372,Brown SILT,0.9,,SI
F41/0455,Sandy GRAVELS,27.3,,GRSA
C-2009,Sandy MUDSTONES to muddy SANDSTONE (possibly with some Gravels),51,,MS
F38/0005,Silts,13.9,,SI
G40/0149,Sandy GRAVELS,6.5,,GRSA
J41/0574,Dark brown MUDSTONE,276,,MS
G45/0238,"SILT with some Clay, brown, firm to soft, dry",1.2,,CLSI
H44/0009,"Grey, quartz/schist GRAVEL",11.4,,GR
I44/0970,Claybound GRAVELS,28,,GRCL
F41/0510,GRAVELS WB SANDY,67.3,,GRSA
G44/0239,Grey SCHIST,5.5,,SCHIST
G45/0203,Broken brown ROCK,19,,TERT
G40/0325,GRAVEL,27,,GR
F41/0482,Silty GRAVEL,34.9,,GRSI
G40/0225,Silty coarse SAND,19.8,,SISA
I44/1066,"Quartz, SAND and river GRAVELS",20.5,,GRSA
