Date,Rainfall,PET
1/05/2013,0,0.5
2/05/2013,0,0.2
3/05/2013,10.5,0
4/05/2013,0,0.3
5/05/2013,11.2,0.2
6/05/2013,9,0.1
7/05/2013,0,0.1
8/05/2013,0,0.1
9/05/2013,0,0.1
10/05/2013,29.7,0.1
11/05/2013,0,0.1
12/05/2013,0,0
13/05/2013,0,0
14/05/2013,0,0
15/05/2013,0,0
16/05/2013,0,0
17/05/2013,0,0
18/05/2013,0,0
19/05/2013,0,0
20/05/2013,0,0.1
21/05/2013,0,0
22/05/2013,0.3,0
23/05/2013,0,0
24/05/2013,0,0
25/05/2013,0,0
26/05/2013,12.2,0
27/05/2013,3.7,0
28/05/2013,0,0
29/05/2013,0,0
30/05/2013,0,0
31/05/2013,0,0
1/06/2013,0,0
2/06/2013,0.7,0
3/06/2013,76.2,0
4/06/2013,1.8,0
5/06/2013,0,0
6/06/2013,0,0
7/06/2013,0,0
8/06/2013,0,0
9/06/2013,0.3,0
10/06/2013,0,0
11/06/2013,0,0
12/06/2013,0,0
13/06/2013,0,0
14/06/2013,0,0
15/06/2013,2.4,0
16/06/2013,17.3,0
17/06/2013,9.6,0
18/06/2013,2.4,0
19/06/2013,0.7,0
20/06/2013,17.2,0
21/06/2013,5.9,0
22/06/2013,1.7,0
23/06/2013,0.6,0
24/06/2013,0,0
25/06/2013,0,0
26/06/2013,0,0
27/06/2013,0,0
28/06/2013,0,0
29/06/2013,0,0
30/06/2013,0,0
1/07/2013,0,0
2/07/2013,4.3,0
3/07/2013,20.9,0
4/07/2013,6.2,0
5/07/2013,0,0
6/07/2013,35.6,0
7/07/2013,17.3,0
8/07/2013,0.9,0
9/07/2013,0,0
10/07/2013,0,0
11/07/2013,0,0
12/07/2013,0,0
13/07/2013,0,0
14/07/2013,1.6,0
15/07/2013,0,0
16/07/2013,0,0
17/07/2013,0,0
18/07/2013,0,0
19/07/2013,0,0
20/07/2013,0,0
21/07/2013,0,0
22/07/2013,0,0
23/07/2013,0,0
24/07/2013,0.6,0
25/07/2013,0,0
26/07/2013,0,0
27/07/2013,0,0
28/07/2013,0,0
29/07/2013,0,0
30/07/2013,0,0
31/07/2013,0,0
1/08/2013,0,0
2/08/2013,0,0
3/08/2013,0,0
4/08/2013,0,0
5/08/2013,0,0.1
6/08/2013,0,0.1
7/08/2013,0,0.1
8/08/2013,9.5,0.1
9/08/2013,0,0.1
10/08/2013,0.6,0.1
11/08/2013,0,0.2
12/08/2013,8.8,0.1
13/08/2013,0,0.2
14/08/2013,3.7,0.2
15/08/2013,0,0.3
16/08/2013,1.8,0.4
17/08/2013,0,0.2
18/08/2013,0,0.3
19/08/2013,0,0.4
20/08/2013,0.6,0.4
21/08/2013,0,0.4
22/08/2013,3.1,0.5
23/08/2013,1.5,0.6
24/08/2013,0,0.6
25/08/2013,0,0.3
26/08/2013,0,0.6
27/08/2013,0,0.8
28/08/2013,0,0.6
29/08/2013,12.2,0.4
30/08/2013,0,0.7
31/08/2013,0,0.9
1/09/2013,0,0.9
2/09/2013,0,0.9
3/09/2013,0,0.9
4/09/2013,2.2,0.9
5/09/2013,2.4,0.5
6/09/2013,0,1.1
7/09/2013,0,0.5
8/09/2013,4.4,1.2
9/09/2013,3.9,1.2
10/09/2013,27.8,1.2
11/09/2013,1.5,0.2
12/09/2013,0,1.1
13/09/2013,0,1.4
14/09/2013,0,0.8
15/09/2013,0,1.2
16/09/2013,0,1.4
17/09/2013,0,1.5
18/09/2013,0,1.6
19/09/2013,0,1.4
20/09/2013,0,0.5
21/09/2013,0,0.7
22/09/2013,0,1.2
23/09/2013,0,1.3
24/09/2013,0,1.5
25/09/2013,0,1.6
26/09/2013,0,1.7
27/09/2013,6.5,1.6
28/09/2013,2.6,1.3
29/09/2013,0,1.4
30/09/2013,0,1.6
1/10/2013,0,2.5
2/10/2013,0.3,2.2
3/10/2013,0,1.2
4/10/2013,0,2.4
5/10/2013,4.2,1
6/10/2013,0,2.7
7/10/2013,2.7,2.6
8/10/2013,0,2.6
9/10/2013,0,1.2
10/10/2013,0,2.5
11/10/2013,0,1.4
12/10/2013,0,1.9
13/10/2013,0,1.7
14/10/2013,10.5,2.9
15/10/2013,5.1,0.7
16/10/2013,0,1.7
17/10/2013,0,2.4
18/10/2013,8.1,2.9
19/10/2013,2.8,1.5
20/10/2013,0,3.2
21/10/2013,0,2.4
22/10/2013,11,0.9
23/10/2013,0,3.6
24/10/2013,23,2.4
25/10/2013,2.2,3.6
26/10/2013,8.2,2.4
27/10/2013,13.6,1.1
28/10/2013,1.5,1.3
29/10/2013,0,3.3
30/10/2013,0,3.5
31/10/2013,0,3.6
1/11/2013,0,3.3
2/11/2013,0,2.5
3/11/2013,0,3.9
4/11/2013,0,3.7
5/11/2013,0,2.2
6/11/2013,0,2.2
7/11/2013,0,4.6
8/11/2013,0,4.9
9/11/2013,0,2.7
10/11/2013,0,3.2
11/11/2013,0,3.2
12/11/2013,0,4.2
13/11/2013,0,4.5
14/11/2013,0,5.1
15/11/2013,0,3.9
16/11/2013,0,3
17/11/2013,0,3.8
18/11/2013,0,4.8
19/11/2013,0,5.4
20/11/2013,0,5.6
21/11/2013,0.2,4.1
22/11/2013,0.8,4.2
23/11/2013,0,4.1
24/11/2013,0,4.8
25/11/2013,2.7,2.8
26/11/2013,1,1.2
27/11/2013,0,4.4
28/11/2013,0,5
29/11/2013,0,5.6
30/11/2013,17.4,1.9
1/12/2013,0,3.7
2/12/2013,0,5
3/12/2013,0,5.1
4/12/2013,0,5.8
5/12/2013,0,5.9
6/12/2013,0,5.1
7/12/2013,0,2.3
8/12/2013,2,3.9
9/12/2013,3.4,1.7
10/12/2013,0,4.3
11/12/2013,0,4.1
12/12/2013,0,3.5
13/12/2013,1.3,2.5
14/12/2013,0,5.2
15/12/2013,1.7,3.7
16/12/2013,6.4,2.4
17/12/2013,0,5.4
18/12/2013,0,4.8
19/12/2013,0,4.8
20/12/2013,0,5.3
21/12/2013,1.7,3.3
22/12/2013,8.8,3.3
23/12/2013,0,5.1
24/12/2013,0,3
25/12/2013,3.5,2.7
26/12/2013,2.8,2.1
27/12/2013,0,2.4
28/12/2013,0,6.2
29/12/2013,0,6.1
30/12/2013,3.3,5.5
31/12/2013,8.3,4.2
1/01/2014,0.4,4.9
2/01/2014,3.6,2.1
3/01/2014,25.4,2.9
4/01/2014,1.2,2.6
5/01/2014,6.1,5.2
6/01/2014,0,4.1
7/01/2014,0,4.4
8/01/2014,9.2,1.9
9/01/2014,7.5,4.3
10/01/2014,0,5.2
11/01/2014,0,5.7
12/01/2014,1.1,5.8
13/01/2014,4.3,2.4
14/01/2014,0,3.6
15/01/2014,0,5.1
16/01/2014,0,4.6
17/01/2014,0,4.4
18/01/2014,0,3.9
19/01/2014,0,2.4
20/01/2014,1.7,2.9
21/01/2014,0,5.4
22/01/2014,0,5.3
23/01/2014,1.6,3.4
24/01/2014,0,1.9
25/01/2014,0,4.9
26/01/2014,3.5,3.5
27/01/2014,0.7,1.9
28/01/2014,0,4.8
29/01/2014,0,4.4
30/01/2014,0,3.4
31/01/2014,0,5.2
1/02/2014,0,4.8
2/02/2014,0,5.2
3/02/2014,0,4.8
4/02/2014,0,5.4
5/02/2014,0,5.3
6/02/2014,0,2.3
7/02/2014,0,4.6
8/02/2014,0,4.6
9/02/2014,0,4.7
10/02/2014,0,4.3
11/02/2014,0,4.3
12/02/2014,0,3.2
13/02/2014,2,1.7
14/02/2014,1.8,2
15/02/2014,0,3.6
16/02/2014,0,2.4
17/02/2014,0,4.5
18/02/2014,0,1.4
19/02/2014,0,4.6
20/02/2014,0,3.9
21/02/2014,0,4.3
22/02/2014,0,2.2
23/02/2014,1.2,4.1
24/02/2014,0,2.1
25/02/2014,0,3.1
26/02/2014,0,3.4
27/02/2014,0,3.6
28/02/2014,0,2.8
1/03/2014,1.2,1.4
2/03/2014,0,2
3/03/2014,0.8,1.7
4/03/2014,0,2
5/03/2014,0,2.9
6/03/2014,0,2.8
7/03/2014,0,2.9
8/03/2014,1.1,2.4
9/03/2014,0,3.1
10/03/2014,0,3.2
11/03/2014,0,2.4
12/03/2014,0,2.8
13/03/2014,0,3.1
14/03/2014,2.8,1.6
15/03/2014,0,2.9
16/03/2014,0,2
17/03/2014,1.2,1.3
18/03/2014,9.2,1.5
19/03/2014,0,3
20/03/2014,0,1
21/03/2014,0,2.6
22/03/2014,0,2.3
23/03/2014,0,2.3
24/03/2014,0,2.3
25/03/2014,1,1
26/03/2014,0.5,1.3
27/03/2014,0,1.8
28/03/2014,0,2
29/03/2014,0,1.6
30/03/2014,0,1.4
31/03/2014,0,0.9
1/04/2014,0,1.2
2/04/2014,0,1.1
3/04/2014,0,1.7
4/04/2014,0,1.4
5/04/2014,5.5,1.5
6/04/2014,0.5,1.1
7/04/2014,4.8,0.9
8/04/2014,0,0.8
9/04/2014,0,1.4
10/04/2014,0,1
11/04/2014,0,0.8
12/04/2014,5.7,1.1
13/04/2014,0,0.5
14/04/2014,0,0.9
15/04/2014,2.2,0.7
16/04/2014,0.9,0.5
17/04/2014,0,0.3
18/04/2014,1.2,0.3
19/04/2014,0,0.5
20/04/2014,0,0.5
21/04/2014,0,0.6
22/04/2014,0,0.7
23/04/2014,0,0.7
24/04/2014,0,0.4
25/04/2014,10.6,0.5
26/04/2014,0,0.6
27/04/2014,0,0.5
28/04/2014,18.7,0.2
29/04/2014,7.1,0.2
30/04/2014,0,0.5
1/05/2014,0,0.3
2/05/2014,0,0.3
3/05/2014,0,0.2
4/05/2014,0,0.4
5/05/2014,6.6,0.2
6/05/2014,8.8,0.3
7/05/2014,29.2,0.2
8/05/2014,12.7,0
9/05/2014,0.4,0.1
10/05/2014,0,0.2
11/05/2014,0,0.1
12/05/2014,0,0
13/05/2014,18.2,0
14/05/2014,2.4,0.1
15/05/2014,0,0.1
16/05/2014,0,0.1
17/05/2014,0,0
18/05/2014,0,0.2
19/05/2014,0.7,0.1
20/05/2014,0,0
21/05/2014,8,0.1
22/05/2014,0,0.1
23/05/2014,14.3,0
24/05/2014,6.7,0
25/05/2014,3.8,0
26/05/2014,20.7,0
27/05/2014,0,0
28/05/2014,0,0
29/05/2014,12.2,0
30/05/2014,0,0
31/05/2014,0,0
1/06/2014,0,0
2/06/2014,0,0
3/06/2014,0,0
4/06/2014,0,0
5/06/2014,0,0
6/06/2014,0.6,0
7/06/2014,7.7,0
8/06/2014,0,0
9/06/2014,0,0
10/06/2014,15.5,0
11/06/2014,0,0
12/06/2014,0,0
13/06/2014,0,0
14/06/2014,0,0
15/06/2014,0,0
16/06/2014,0,0
17/06/2014,14.6,0
18/06/2014,0.7,0
19/06/2014,0,0
20/06/2014,0,0
21/06/2014,8.5,0
22/06/2014,0,0
23/06/2014,0,0
24/06/2014,0,0
25/06/2014,34.7,0
26/06/2014,11.3,0
27/06/2014,0,0
28/06/2014,0.3,0
29/06/2014,0,0
30/06/2014,15,0
1/07/2014,18.4,0
2/07/2014,0.7,0
3/07/2014,0,0
4/07/2014,0,0
5/07/2014,0,0
6/07/2014,0,0
7/07/2014,0,0
8/07/2014,0,0
9/07/2014,0,0
10/07/2014,0,0
11/07/2014,3.3,0
12/07/2014,4.4,0
13/07/2014,7.1,0
14/07/2014,9.5,0
15/07/2014,0,0
16/07/2014,0,0
17/07/2014,10.5,0
18/07/2014,0,0
19/07/2014,0,0
20/07/2014,0,0
21/07/2014,0,0
22/07/2014,0,0
23/07/2014,0,0
24/07/2014,0,0
25/07/2014,0,0
26/07/2014,0,0
27/07/2014,0,0
28/07/2014,0,0
29/07/2014,2.7,0
30/07/2014,0,0.1
31/07/2014,14.6,0
1/08/2014,3,0
