#,m3/s,m3/s,l/s,l/s,
date,Graview Ck at LHS m3/s,Lagoon Ck at MGH m3/s,Grandview Ck at LHS l/s,Lagoon Ck at MGH l/s,Luggate (Nat) l/s
16/05/2018 0:00,0.149086966,0.031810705,149.086966,31.810705,1432
17/05/2018 0:00,0.151109726,0.035030857,151.109726,35.030857,1401
18/05/2018 0:00,0.142676172,0.034726012,142.676172,34.726012,1439
19/05/2018 0:00,0.136151185,0.034275567,136.151185,34.275567,1480
20/05/2018 0:00,0.148771052,0.035459342,148.771052,35.459342,1427
21/05/2018 0:00,0.147960607,0.039664882,147.960607,39.664882,1387
22/05/2018 0:00,0.617184598,0.04965941,617.184598,49.65941,1374
23/05/2018 0:00,0.671187022,0.066910106,671.187022,66.910106,1394
24/05/2018 0:00,0.459177195,0.066111567,459.177195,66.111567,4091
25/05/2018 0:00,0.36196944,0.064488738,361.96944,64.488738,2969
26/05/2018 0:00,0.311153542,0.064200672,311.153542,64.200672,3067
27/05/2018 0:00,0.273214122,0.067395615,273.214122,67.395615,2512
28/05/2018 0:00,0.233815198,0.071732034,233.815198,71.732034,2211
29/05/2018 0:00,0.205192716,0.078905429,205.192716,78.905429,2037
30/05/2018 0:00,0.185505574,0.08461832,185.505574,84.61832,1911
31/05/2018 0:00,0.174471401,0.085899106,174.471401,85.899106,1866
1/06/2018 0:00,0.163939408,0.084694534,163.939408,84.694534,1796
2/06/2018 0:00,0.15284744,0.083869582,152.84744,83.869582,1762
3/06/2018 0:00,0.14865561,0.083524042,148.65561,83.524042,1735
4/06/2018 0:00,0.130948462,0.080506855,130.948462,80.506855,1670
5/06/2018 0:00,0.128286635,0.077810998,128.286635,77.810998,1633
6/06/2018 0:00,0.123915722,0.072745637,123.915722,72.745637,1600
7/06/2018 0:00,0.121214789,0.067947404,121.214789,67.947404,1823
8/06/2018 0:00,0.117928106,0.063060958,117.928106,63.060958,2410
9/06/2018 0:00,0.117299172,0.060513764,117.299172,60.513764,1880
10/06/2018 0:00,0.120226509,0.059119722,120.226509,59.119722,1791
