ConsentID,WellNumber,MaxFlowRate,StreamDepletionFlow,MaxHourlyVolume,MaxdailyVolume,MaxWeeklyVolume,MaxMonthlyVolume,MaxYearlyVolume,Aquifer,B1_APPL_STATUS,#Wells,WM_Accela,#WaterMeters,FMU,Rohe,Type,WellsDtbAquifer,B1_X_COORD,B1_Y_COORD,EastingTM,NorthingTM,ConsentCommencementDate,ConsentExpiryDate,ConsentIssued,Consumptive,USE1,USE2
97040,,27.77,,,,,,,,Expired – Pending Application,,,,,,Surface Take,,1292540,5003630,,,05/20/1997,02/01/2022,05/20/1997,No,,
97042,,55.55,,,,,,,,Expired – Pending Application,,,,,,Surface Take,,1294210.5,5005064.5,,,05/20/1997,02/01/2022,05/20/1997,No,,
97045,,83.33,,,,,,,,Expired – Pending Application,,,,,,Surface Take,,1294619.5,5005240,,,05/20/1997,02/01/2022,05/20/1997,No,,
97117,,20.83,,,,,,,,Expired – Pending Application,,WM0547,1,,,Surface Take,,1342290,4999193,,,08/11/1997,10/01/2021,08/11/1997,Yes,,
97121,,55.5,,,,,,,,Expired – Pending Application,,WM0975,1,,,Surface Take,,1383335.333,4977101,,,05/20/1997,10/01/2021,05/20/1997,Yes,,
97157,,,,,,,,,,Current,,,,,,Surface Take,,1407497,4925453,,,06/04/1997,06/01/2027,06/04/1997,No,,
97320,,6000,,,,,,,,Current,,WM0980,1,,,Surface Take,,1327138,4950948,,,03/17/1998,09/15/2032,03/17/1998,No,,
97322,,305,,,,,,,,Current,,,,,,Surface Take,,1327138,4950948,,,02/27/1998,09/15/2032,02/27/1998,No,,
97324.V1,,1000,,,,,,,,Current,,,,,,Surface Take,,1327127,4951118,,,03/17/1998,09/15/2032,03/17/1998,No,,
97326.V1,,6000,,,,,,,,Current,,,,,,Surface Take,,1327127,4951118,,,03/17/1998,09/15/2032,03/17/1998,No,,
98305,,4000,,,,,,,,Current,,,,,,Surface Take,,1355372,5026417,,,10/14/1998,09/30/2033,10/14/1998,No,,
98462,,26,,,,,,,,Expired – Pending Application,,WM0990,1,,,Surface Take,,1372844.5,4957215.167,,,05/23/2000,05/01/2020,05/23/2000,Yes,,
99308,,111.11,,,,,,,,Expired – Pending Application,,WM0573,1,,,Surface Take,,1297162.5,4989987,,,05/23/2000,10/01/2021,05/23/2000,Yes,,
99638.V2,,,,,,,,,,Current,,WM1006,2,,,Surface Take,,1377251,4956966,,,01/18/2002,01/01/2027,01/18/2002,Yes,,
99638.V2,,,,,,,,,,Current,,WM1007,2,,,Surface Take,,1377251,4956966,,,01/18/2002,01/01/2027,01/18/2002,Yes,,
RM10.351.45,,,,,,,,,,Current,,,,,,Groundwater Take,,1400484,4973117,,,11/01/2012,10/01/2046,11/01/2012,No,Mining/Quarry,Mining/Quarry
RM10.351.46,,,,,,,,,,Current,,,,,,Surface Take,,1400484,4973117,,,11/01/2012,10/01/2046,11/01/2012,No,,
RM10.351.48.V1,,,,,,,,,,Current,,WM0882,1,,,Surface Take,,1400484,4973117,,,11/01/2012,10/01/2046,11/01/2012,No,,
RM10.351.51.V1,,,,,,,,,,Current,,WM0882,1,,,Groundwater Take,,1400484,4973117,,,11/01/2012,10/01/2046,11/01/2012,No,Mining/Quarry,Mining/Quarry
RM10.432.02,,,,,,,,,,Current,,,,,,Surface Take,,1282413.5,4982718,,,12/10/2010,12/10/2030,12/10/2010,No,,
RM10.475.01,,,500,,,,,,,Current,,,,,,Surface Take,,1290153,5075983,,,02/24/2011,02/18/2041,02/24/2011,No,,
RM12.053.01.V1,,,5,,,,,,,Current,,WM1222,1,,,Surface Take,,1429588,4981698,,,08/08/2012,08/01/2042,08/08/2012,Yes,,
RM12.053.02.V1,,,50,,,,,,,Current,,WM1222,1,,,Surface Take,,1429588,4981698,,,08/08/2012,08/01/2042,08/08/2012,Yes,,
RM12.061.03,,,,,,,,,,Current,,,,,,Surface Take,,1301594,4976987.5,,,05/08/2013,05/02/2033,05/08/2013,No,,
RM12.111.02,,,,,,,,,,Current,,WM1178,1,,,Surface Take,,1445519,5022568,,,07/11/2012,06/01/2027,07/11/2012,No,,
RM12.143.03,,,,,,,,,,Current,,,,,,Surface Take,,1238965,5017942,,,08/21/2012,08/20/2047,08/21/2012,No,,
RM12.378.07,,,,,,,,,,Current,,WM0897,2,,,Groundwater Take,,1395787,4977602.5,,,11/22/2013,10/20/2023,11/22/2013,No,Mining/Quarry,Mining/Quarry
RM12.378.07,,,,,,,,,,Current,,WM1516,2,,,Groundwater Take,,1395787,4977602.5,,,11/22/2013,10/20/2023,11/22/2013,No,Mining/Quarry,Mining/Quarry
RM12.378.10,,,,,,,,,,Current,,WM0897,2,,,Surface Take,,1395787,4977602.5,,,11/22/2013,10/20/2023,11/22/2013,No,,
RM12.378.10,,,,,,,,,,Current,,WM1516,2,,,Surface Take,,1395787,4977602.5,,,11/22/2013,10/20/2023,11/22/2013,No,,
RM12.378.11,,,,,,,,,,Current,,,,,,Groundwater Take,,1395770,4977492,,,11/22/2013,10/20/2048,11/22/2013,Yes,Construction/Repairs Site,Construction/Repairs Site
RM12.378.12,,,,,,,,,,Current,,,,,,Surface Take,,1395770,4977492,,,11/22/2013,10/20/2048,11/22/2013,Yes,,
RM12.539.01,,4,,,,,,,,Current,,,,,,Surface Take,,1237855.5,5022441,,,10/22/2013,03/04/2048,03/04/2013,No,,
RM13.419.02,,,25,,,,,,,Current,,,,,,Surface Take,,1284026,5043101,,,02/25/2014,02/24/2044,02/25/2014,No,,
RM13.458.01,,10,,,,,,,,Current,,,,,,Surface Take,,1424621,4987872,,,02/04/2014,02/03/2044,02/04/2014,No,,
RM13.480.01.V1,,,20.5,,,,,,,Current,,WM1270,1,,,Surface Take,,1327005,4877848,,,05/23/2014,05/14/2039,05/23/2014,Yes,,
RM14.062.04,,,60,,,,,,,Current,,,,,,Surface Take,,1324576,4988638,,,06/16/2014,06/11/2044,06/16/2014,No,,
RM14.069.01,,,2000,,,,,,,Current,,WM1546,1,,,Surface Take,,1300007,4980670,,,01/29/2016,01/27/2051,01/29/2016,No,,
RM14.232.01,,,42,,,,,,,Current,,WM1150,1,,,Surface Take,,1348600,5006715,,,01/29/2015,01/12/2040,01/12/2015,Yes,,
RM14.274.02,,,205,,,,,,,Current,,WM0560,1,,,Surface Take,,1340957,5022312,,,06/16/2017,10/01/2040,11/02/2015,Yes,,
RM14.275.02,,,,,,,,,,Current,,WM0560,1,,,Surface Take,,1340957,5022312,,,05/17/2017,10/01/2040,11/02/2015,Yes,,
RM14.294.01,,,42,,,,,,,Current,,WM0504,1,,,Surface Take,,1346934,5005762,,,12/12/2016,04/15/2040,04/17/2015,Yes,,
RM15.043.02,,,,,,,,,,Current,,WM1294R,1,,,Surface Take,,1418365,4953901,,,04/16/2018,08/01/2040,08/07/2015,Yes,,
RM15.065.01,,,5.8,,,,,,,Current,,WM1423,1,,,Surface Take,,1280410,5023180,,,05/17/2016,08/01/2040,08/25/2015,Yes,,
RM15.065.03,,,14,,,,,,,Current,,Pringles Creek at the Access Road,1,,,Surface Take,,1280561,5024364,,,08/25/2015,08/01/2040,08/25/2015,Yes,,
RM15.065.03,,,14,,,,,,,Current,,WM1416,1,,,Surface Take,,1280561,5024364,,,08/25/2015,08/01/2040,08/25/2015,Yes,,
RM15.065.04.V1,,,8,,,,,,,Current,,Pringles Creek at the Access Road,,,,Surface Take,,1281519.5,5023791,,,08/25/2015,08/01/2040,08/25/2015,Yes,,
RM15.091.01,,,,,,,,,,Current,,,,,,Surface Take,,1341491,4863928,,,07/14/2015,07/01/2030,07/14/2015,No,,
RM15.148.02,,60,110,,,,,,,Current,,WM1046,1,,,Surface Take,,1345077,4995512,,,03/22/2016,03/17/2041,03/22/2016,Yes,,
