permit_id,water_meter_no,date,total_allo,total_usage
2003.761,1229,2020-12-19,60.0,1536.8
2003.761,1229,2020-12-20,60.0,1872.4
2003.761,1229,2020-12-21,60.0,1967.8
2003.761,1229,2020-12-22,60.0,3081.4
2003.761,1229,2020-12-23,60.0,2651.6
2003.761,1229,2020-12-24,60.0,2742.0
2003.761,1229,2020-12-25,60.0,1959.8
2003.761,1229,2020-12-26,60.0,1624.4
2003.761,1229,2020-12-27,60.0,1494.0
2003.761,1229,2020-12-28,60.0,1643.4
2003.761,1229,2020-12-29,60.0,1656.0
2003.761,1229,2020-12-30,60.0,2266.2
2003.761,1229,2020-12-31,60.0,2009.8
2003.761,1229,2021-01-01,60.0,2094.0
2003.761,1229,2021-01-02,60.0,1772.8
2003.761,1229,2021-01-03,60.0,1220.6
2003.761,1229,2021-01-04,60.0,1001.0
2003.761,1229,2021-01-05,60.0,1323.0
2003.761,1229,2021-01-06,60.0,1157.8
2003.761,1229,2021-01-07,60.0,1306.2
2003.761,1229,2021-01-08,60.0,1369.4
2003.761,1229,2021-01-09,60.0,1155.2
2003.761,1229,2021-01-10,60.0,1435.4
2003.761,1229,2021-01-11,60.0,1701.6
2003.761,1229,2021-01-12,60.0,1691.2
2003.761,1229,2021-01-13,60.0,1600.0
2003.761,1229,2021-01-14,60.0,1583.0
2003.761,1229,2021-01-15,60.0,1967.8
2003.761,1229,2021-01-16,60.0,2100.4
2003.761,1229,2021-01-17,60.0,1517.8
2003.761,1229,2021-01-18,60.0,1434.2
2003.761,1229,2021-01-19,60.0,1575.8
2003.761,1229,2021-01-20,60.0,1225.0
2003.761,1229,2021-01-21,60.0,1310.0
2003.761,1229,2021-01-22,60.0,1230.0
2003.761,1229,2021-01-23,60.0,1529.0
2003.761,1229,2021-01-24,60.0,1599.6
2003.761,1229,2021-01-25,60.0,1814.8
2003.761,1229,2021-01-26,60.0,1856.0
2003.761,1229,2021-01-27,60.0,2063.61
2003.761,1229,2021-01-28,60.0,1961.4
2003.761,1229,2021-01-29,60.0,1102.23921568575
